Origin:41.000:-24.000:0.031
Angles:0.000:-9.783:0.000
Velocity:0.000:0.000:0.000
8:18.510:-5.379:0:41.000, -24.000, 0.031:0.000, 0.000, 0.000
8:28.006:-3.176:0:42.216, -24.114, 0.031:36.505, -3.437, 0.000
8:28.006:-3.176:0:44.322, -24.265, 0.031:63.159, -4.531, 0.000
8:28.763:-3.176:0:47.315, -24.460, 0.031:89.795, -5.848, 0.000
8:30.416:-1.799:0:51.129, -24.697, 0.031:114.433, -7.100, 0.000
8:31.517:-0.629:0:55.657, -24.940, 0.031:135.823, -7.306, 0.000
8:32.894:0.126:0:60.803, -25.165, 0.031:154.378, -6.735, 0.000
40:34.270:0.194:0:66.485, -25.357, 0.031:170.461, -5.756, 0.000
8:35.096:0.331:0:72.631, -25.519, 0.031:184.399, -4.864, 0.000
8:35.645:0.469:0:79.181, -25.652, 0.031:196.478, -4.002, 0.000
1032:36.541:3.773:0:86.079, -25.758, 0.031:206.947, -3.168, 0.000
1024:36.747:5.559:0:92.977, -26.655, 0.031:206.931, -26.910, 0.000
1024:36.747:10.654:0:99.073, -28.649, 0.031:182.894, -59.816, 0.000
1032:36.747:10.791:0:104.583, -31.578, 0.031:165.288, -87.875, 0.000
1032:36.747:10.791:0:110.369, -34.804, 0.031:173.573, -96.772, 0.000
1032:35.437:9.621:0:116.394, -38.287, 0.031:180.753, -104.482, 0.000
8:35.437:9.621:0:122.612, -42.013, 0.031:186.549, -111.780, 0.000
8:35.576:7.901:0:129.206, -45.037, 0.031:197.827, -90.747, 0.000
8:35.784:7.214:0:136.119, -47.486, 0.031:207.371, -73.465, 0.000
8:36.610:5.287:0:143.192, -49.420, 0.031:212.215, -58.004, 0.000
40:37.229:2.463:0:150.365, -50.946, 0.031:215.185, -45.775, 0.000
512:36.541:10.861:0:157.593, -52.188, 0.031:216.817, -37.284, 0.000
512:34.062:95.916:0:163.626, -52.065, 0.031:180.999, 3.696, 0.000
512:32.137:102.386:0:167.639, -52.084, 0.031:120.394, -0.577, 0.000
512:33.097:98.597:0:169.923, -52.363, 0.031:68.529, -8.365, 0.000
520:33.444:99.358:0:170.668, -52.785, 0.031:22.348, -12.637, 0.000
520:33.444:101.010:0:170.130, -52.330, 0.031:-16.154, 13.650, 0.000
520:33.305:101.347:12:168.832, -51.406, 0.031:-38.918, 27.694, 0.000
520:32.687:101.347:0:166.789, -49.999, 0.031:-61.295, 42.211, 0.000
8:30.690:101.347:0:164.003, -48.104, 0.031:-83.583, 56.855, 0.000
8:28.833:99.152:0:161.348, -45.263, 0.031:-79.658, 85.223, 0.000
8:28.833:99.152:0:158.852, -41.595, 0.031:-74.869, 110.060, 0.000
8:28.833:99.152:0:156.495, -37.209, 0.031:-70.718, 131.585, 0.000
8:28.833:99.152:0:154.258, -32.201, 0.031:-67.121, 150.240, 0.000
8:28.833:99.152:0:152.124, -26.654, 0.031:-64.004, 166.408, 0.000
8:28.826:100.180:0:150.079, -20.640, 0.031:-61.345, 180.413, 0.000
8:28.826:100.734:0:148.090, -14.225, 0.031:-59.648, 192.447, 0.000
8:28.826:101.216:0:146.140, -7.464, 0.031:-58.525, 202.812, 0.000
8:28.759:101.347:0:144.211, -0.406, 0.031:-57.854, 211.737, 0.000
8:28.552:101.555:0:142.345, 6.684, 0.031:-55.990, 212.755, 0.000
8:28.482:101.555:0:140.531, 13.790, 0.031:-54.399, 213.168, 0.000
514:28.482:101.763:0:138.764, 20.907, 0.031:-53.022, 213.514, 0.000
514:28.482:103.069:0:136.291, 27.877, 25.913:-74.200, 209.103, 223.133
514:28.482:105.207:0:133.654, 34.809, 32.906:-79.095, 207.966, 196.466
514:28.482:107.750:0:130.753, 41.670, 39.011:-87.034, 205.808, 169.799
514:28.482:110.231:0:127.539, 48.430, 44.226:-96.431, 202.800, 143.133
514:28.482:111.676:0:124.022, 55.079, 48.553:-105.483, 199.463, 116.466
514:28.552:112.708:0:120.331, 61.658, 51.991:-110.733, 197.377, 89.799
514:28.552:113.805:0:116.516, 68.185, 54.540:-114.466, 195.815, 63.133
514:28.895:116.355:0:112.568, 74.654, 56.200:-118.423, 194.068, 36.466
514:29.103:118.347:0:108.434, 81.030, 56.971:-124.024, 191.294, 9.799
514:29.652:120.553:0:104.117, 87.308, 56.853:-129.524, 188.326, -16.866
514:30.135:123.097:0:99.392, 93.345, 55.846:-141.747, 181.110, -43.533
514:31.030:126.540:0:94.383, 99.197, 53.951:-150.258, 175.562, -70.200
514:32.062:130.050:0:89.005, 104.775, 51.166:-161.350, 167.342, -96.866
514:33.368:133.078:0:83.265, 110.049, 47.493:-172.195, 158.226, -123.533
514:34.194:134.936:0:77.226, 115.044, 42.931:-181.174, 149.830, -150.200
1026:34.194:134.936:0:71.008, 119.860, 37.480:-186.537, 144.479, -176.866
1026:33.506:134.110:0:65.380, 125.264, 31.140:-168.840, 162.137, -203.533
1026:33.025:133.009:0:60.350, 131.249, 5.911:-150.890, 179.538, -230.200
1026:32.541:131.220:0:55.756, 137.640, 0.040:-137.822, 191.728, 0.000
1026:32.268:130.393:0:51.346, 144.192, 25.922:-132.310, 196.557, 223.133
1026:31.923:128.742:0:47.021, 150.817, 32.915:-129.728, 198.754, 196.466
1026:31.718:127.361:0:42.874, 157.584, 39.020:-124.425, 203.008, 169.799
1026:31.236:125.577:0:38.877, 164.466, 44.235:-119.909, 206.457, 143.133
1026:31.030:125.026:0:35.081, 171.491, 48.562:-113.883, 210.768, 116.466
1026:31.030:124.611:0:31.347, 178.561, 52.000:-112.011, 212.080, 89.799
1026:31.030:124.263:0:27.660, 185.663, 54.549:-110.599, 213.054, 63.133
1026:31.030:124.063:0:24.013, 192.791, 56.209:-109.417, 213.860, 36.466
1026:31.030:124.063:0:20.390, 199.936, 56.980:-108.705, 214.341, 9.799
1026:31.030:124.063:0:16.766, 207.081, 56.862:-108.705, 214.341, -16.866
1026:31.030:123.925:0:13.143, 214.225, 55.855:-108.705, 214.341, -43.533
1026:31.236:123.512:0:9.535, 221.381, 53.960:-108.230, 214.661, -70.200
1026:31.305:123.374:0:5.975, 228.568, 51.175:-106.796, 215.610, -96.866
1024:31.579:122.819:0:2.431, 235.765, 47.502:-106.317, 215.926, -123.533
1024:32.131:121.722:0:-1.047, 243.004, 42.940:-104.388, 217.170, -150.200
0:34.194:118.901:0:-4.397, 250.324, 37.489:-100.475, 219.589, -176.866
0:37.705:113.805:0:-7.746, 257.644, 31.149:-100.475, 219.589, -203.533
16:39.838:110.299:0:-11.095, 264.963, 5.920:-100.475, 219.589, -230.200
16:43.004:108.304:0:-13.596, 269.990, 0.040:-75.033, 150.811, 0.000
0:45.409:108.579:0:-15.380, 273.187, 0.031:-53.513, 95.891, 0.000
0:45.894:108.648:0:-16.926, 275.957, 0.031:-46.378, 83.106, 0.000
32:50.229:106.444:0:-18.266, 278.358, 0.031:-40.194, 72.025, 0.000
0:48.506:97.500:0:-19.427, 280.439, 0.031:-34.835, 62.422, 0.000
8:29.447:15.538:0:-20.426, 282.228, 0.031:-29.962, 53.690, 0.000
8:29.447:15.538:0:-20.084, 284.054, 0.031:10.237, 54.781, 0.000
8:29.447:15.538:0:-18.627, 285.880, 0.031:43.726, 54.775, 0.000
8:29.103:15.402:0:-16.200, 287.773, 0.031:72.813, 56.783, 0.000
8:28.415:15.538:0:-12.918, 289.738, 0.031:98.455, 58.950, 0.000
8:27.933:15.609:0:-8.896, 291.768, 0.031:120.653, 60.914, 0.000
8:27.933:15.677:0:-4.233, 293.857, 0.031:139.881, 62.658, 0.000
8:27.933:15.677:0:0.983, 295.997, 0.031:156.532, 64.212, 0.000
8:27.933:15.677:0:6.682, 298.183, 0.031:170.964, 65.559, 0.000
8:27.933:15.746:0:12.798, 300.407, 0.031:183.471, 66.726, 0.000
8:27.933:15.746:0:19.275, 302.666, 0.031:194.299, 67.780, 0.000
520:27.933:15.746:0:26.064, 304.956, 0.031:203.683, 68.693, 0.000
520:27.933:15.746:0:32.545, 308.007, 0.031:194.443, 91.525, 0.000
520:27.725:15.677:0:38.760, 311.717, 0.031:186.435, 111.312, 0.000
8:26.488:15.196:0:44.724, 315.984, 0.031:178.926, 128.005, 0.000
8:26.488:15.196:0:50.921, 319.906, 0.031:185.891, 117.661, 0.000
8:27.520:15.746:0:57.297, 323.528, 0.031:191.304, 108.639, 0.000
8:27.864:16.020:0:63.804, 326.910, 0.031:195.207, 101.458, 0.000
8:27.864:16.020:0:70.408, 330.099, 12.031:198.109, 95.669, 0.000
8:27.864:16.020:0:77.088, 333.125, 12.031:200.389, 90.797, 0.000
1032:28.138:14.989:0:83.828, 336.014, 12.031:202.212, 86.661, 0.000
1032:28.277:12.786:0:90.728, 337.906, 12.031:207.001, 56.767, 0.000
1032:28.277:9.758:0:97.742, 338.894, 12.031:210.424, 29.653, 0.000
1034:28.277:5.768:0:104.819, 339.046, 12.031:212.314, 4.541, 0.000
1026:28.208:1.225:0:111.897, 339.197, 37.913:212.314, 4.541, 223.133
1026:28.138:-2.970:0:118.992, 338.516, 44.906:212.850, -20.452, 196.466
1026:28.138:-7.993:0:126.051, 337.148, 51.011:211.781, -41.032, 169.799
1026:28.069:-10.885:0:133.023, 335.159, 56.226:209.164, -59.671, 143.133
1026:28.069:-13.774:0:139.927, 332.813, 60.553:207.105, -70.376, 116.466
1026:28.002:-17.353:0:146.781, 330.265, 63.991:205.617, -76.446, 89.799
1026:27.725:-21.343:0:153.572, 327.518, 66.540:203.753, -82.411, 63.133
1024:26.899:-22.444:0:160.288, 324.576, 68.200:201.478, -88.233, 36.466
512:26.899:-22.444:0:166.925, 321.443, 68.971:199.091, -94.009, 9.799
512:28.552:-18.659:0:173.641, 318.502, 68.853:201.478, -88.233, -16.866
512:28.759:-15.564:0:180.623, 316.350, 67.846:209.477, -64.547, -43.533
512:29.239:-11.159:0:187.829, 315.001, 65.951:216.185, -40.464, -70.200
512:29.309:-6.412:0:195.197, 314.470, 63.166:221.024, -15.936, -96.866
512:29.309:-4.622:0:202.643, 314.640, 59.493:223.386, 5.084, -123.533
512:29.309:-3.315:0:210.108, 315.039, 54.931:223.945, 11.989, -150.200
520:29.172:-5.517:0:217.583, 315.608, 52.884:224.239, 17.060, 0.000
512:30.273:-71.236:0:220.075, 315.798, 52.863:74.783, 5.690, 0.000
512:27.933:-171.156:0:222.559, 316.085, 52.863:74.504, 8.607, 0.000
528:27.933:-171.156:0:224.775, 315.921, 52.863:66.491, -4.891, 0.000
16:28.138:-170.054:0:226.996, 315.537, 52.863:66.611, -11.532, 0.000
16:26.694:-169.024:0:229.298, 315.281, 52.863:69.070, -7.668, 0.000
16:25.524:-166.477:0:231.678, 315.142, 52.863:71.402, -4.184, 0.000
16:24.767:-163.725:0:231.968, 315.119, 52.863:8.706, -0.677, 0.000
16:23.391:-158.977:0:231.968, 315.236, 52.863:0.000, 3.502, 0.000
16:21.395:-151.475:0:231.968, 315.675, 52.863:0.000, 13.154, 0.000
0:19.260:-147.759:0:231.968, 316.363, 52.863:0.000, 20.663, 0.000
0:17.402:-145.832:0:231.968, 316.719, 52.863:0.000, 10.663, 0.000
0:13.482:-143.149:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
0:10.866:-140.602:0:231.968, 316.719, 52.863:0.000, 0.000, 0.000
